exp_ids,maleid,tactic,FemaleID,mated,treatment
8_4_21_2,M058,call,F037,1,single_male
11_4_21_3,M052,call,F038,1,single_male
20_4_21_1,M079,call,F049,1,single_male
29_4_21_1,M095,call,F059,0,single_male
2_5_21_1,M097,call,F063,1,single_male
22_10_21_1,M179,call,F137,0,single_male
22_10_21_2,M176,call,F138,1,single_male
22_10_21_3,M189,call,F142,0,single_male
24_10_21_1,M177,call,F140,1,single_male
24_10_21_2,M184,call,F144,0,single_male
24_10_21_3,M192,call,F145,0,single_male
25_10_21_1,M219,call,F146,0,single_male
26_10_21_3,M173,call,F149,1,single_male
26_10_21_4,M215,call,F151,0,single_male
27_10_21_1,M221,call,F153,0,single_male
28_10_21_1,M181,call,F156,0,single_male
28_10_21_2,M184,call,F157,1,single_male
28_10_21_3,M185,call,F159,0,single_male
28_10_21_4,M180,call,F158,0,single_male
30_10_21_2,M203,call,F169,1,single_male
30_10_21_4,M202,call,F167,0,single_male
1_11_21_2,M194,call,F173,1,single_male
2_11_21_4,M180,call,F177,0,single_male
7_11_21_3,M192,call,F184,0,single_male
9_11_21_2,M239,call,F186,0,single_male
11_11_21_2,M238,call,F188,1,single_male
11_11_21_3,M247,call,F189,1,single_male
15_3_21_1,M001,silent,F011,1,single_male
15_3_21_2,M007,silent,F012,1,single_male
18_3_21_1,M022,silent,F009,1,single_male
24_3_21_1,M030,silent,F021,0,single_male
30_3_21_3,M039,silent,F031,1,single_male
7_4_21_2,M040,silent,F035,1,single_male
8_4_21_1,M052,silent,F036,0,single_male
13_4_21_2,M062,silent,F039,0,single_male
15_4_21_2,M064,silent,F041,1,single_male
17_4_21_2,M074,silent,F045,0,single_male
19_4_21_2,M081,silent,F050,0,single_male
19_4_21_4,M076,silent,F052,1,single_male
20_4_21_2,M081,silent,F047,0,single_male
20_4_21_3,M082,silent,F051,0,single_male
24_4_21_1,M078,silent,F050,1,single_male
24_4_21_2,M088,silent,F051,0,single_male
26_4_21_2,M088,silent,F053,0,single_male
29_4_21_2,M094,silent,F057,0,single_male
8_5_21_1,M103,silent,F064,0,single_male
9_5_21_2,M106,silent,F066,0,single_male
14_5_21_1,M107,silent,F071,0,single_male
25_10_21_2,M217,silent,F147,0,single_male
27_10_21_2,M172,silent,F154,0,single_male
27_10_21_3,M170,silent,F155,0,single_male
29_10_21_1,M210,silent,F160,0,single_male
29_10_21_2,M207,silent,F162,0,single_male
1_11_21_1,M193,silent,F174,1,single_male
3_11_21_3,M187,silent,F146,0,single_male
5_11_21_3,M229,silent,F180,0,single_male
9_11_21_3,M207,silent,F187,0,single_male
