exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,call_number,call_effort,times,mating_latency,male_movement_steps,male_distance,male_vel,femaleid,female_movement_steps,female_distance,female_vel,initial_dist_to_female,initial_dist_to_male,final_dist_to_male
27_4_21_2,two_males,Plant_02,M091,call,virgin,0,5,1,5,NA,0,0,0,F055,1,1,0.2,1.414213562,3.605551275,1
27_4_21_2,two_males,Plant_02,M092,silent,virgin,1,0,0,5,5,1,3.16227766,0.632455532,F055,1,1,0.2,2.236067977,3.605551275,1
29_10_21_3,two_males,Plant_04,M208,call,virgin,1,3,0.333333333,9,9,0,0,0,F166,3,3.414213562,0.379357062,2,2.828427125,2.828427125
29_10_21_3,two_males,Plant_04,M209,silent,virgin,0,0,0,9,NA,0,0,0,F166,3,3.414213562,0.379357062,4.472135955,2.828427125,2.828427125
3_11_21_1,two_males,Plant_04,M191,call,virgin,0,4,0.8,5,NA,0,0,0,F142,2,2,0.4,2.236067977,3.605551275,3.605551275
3_11_21_1,two_males,Plant_04,M209,silent,virgin,0,0,0,5,NA,2,2,0.4,F142,2,2,0.4,3.16227766,3.605551275,3.605551275
3_11_21_2,two_males,Plant_04,M190,call,virgin,0,7,1,7,NA,0,0,0,F145,3,5.064495102,0.7234993,4.472135955,2.828427125,2.828427125
3_11_21_2,two_males,Plant_04,M207,silent,virgin,0,0,0,7,NA,0,0,0,F145,3,5.064495102,0.7234993,2,2.828427125,2.828427125
30_10_21_1,two_males,Plant_04,M182,call,virgin,0,4,1,4,NA,0,0,0,F170,0,0,0,2.236067977,2.828427125,2.236067977
30_10_21_1,two_males,Plant_04,M205,silent,virgin,1,0,0,4,4,1,1,0.25,F170,0,0,0,1,2.828427125,2.236067977
30_10_21_3,two_males,Plant_04,M204,call,virgin,0,6,1,6,NA,0,0,0,F168,1,1,0.166666667,1.414213562,2.236067977,2.236067977
30_10_21_3,two_males,Plant_04,M206,silent,virgin,1,0,0,6,6,0,0,0,F168,1,1,0.166666667,1,2.236067977,2.236067977
30_4_21_1,two_males,Plant_02,M097,call,virgin,0,11,1,11,NA,0,0,0,F058,3,3.414213562,0.310383051,3,1,1
30_4_21_1,two_males,Plant_02,M094,silent,virgin,1,0,0,11,11,0,0,0,F058,3,3.414213562,0.310383051,2,1,1
30_4_21_2,two_males,Plant_02,M095,call,virgin,0,11,1,11,NA,0,0,0,F060,2,2,0.181818182,2.236067977,1,1
30_4_21_2,two_males,Plant_02,M096,silent,virgin,1,0,0,11,11,0,0,0,F060,2,2,0.181818182,1.414213562,1,1
5_11_21_1,two_males,Plant_04,M198,call,virgin,1,7,0.636363636,11,11,1,1.414213562,0.128564869,F178,5,6.656854249,0.605168568,2.236067977,1,0
5_11_21_1,two_males,Plant_04,M189,silent,virgin,0,0,0,11,NA,3,3,0.272727273,F178,5,6.656854249,0.605168568,1.414213562,1,0
5_11_21_2,two_males,Plant_04,M196,call,virgin,1,1,0.2,5,5,0,0,0,F163,1,1,0.2,1,1,1
5_11_21_2,two_males,Plant_04,M195,silent,virgin,0,0,0,5,NA,0,0,0,F163,1,1,0.2,0,1,1
5_4_21_1,two_males,Plant_02,M055,call,virgin,1,4,0.5,8,8,0,0,0,F026,1,2.236067977,0.279508497,2.236067977,1.414213562,1.414213562
5_4_21_3,two_males,Plant_02,M049,silent,virgin,1,0,0,15,15,2,2.414213562,0.160947571,F033,1,1,0.066666667,1.414213562,3,1.414213562
7_11_21_1,two_males,Plant_04,M213,call,virgin,1,2,0.5,4,4,2,2,0.5,F182,1,1,0.25,1,2,2
7_11_21_1,two_males,Plant_04,M204,silent,virgin,0,0,0,4,NA,0,0,0,F182,1,1,0.25,1,2,2
7_11_21_2,two_males,Plant_04,M237,call,virgin,0,2,1,2,NA,0,0,0,F183,0,0,0,2.236067977,2.828427125,2.828427125
7_11_21_2,two_males,Plant_04,M210,silent,virgin,0,0,0,2,NA,0,0,0,F183,0,0,0,1,2.828427125,2.828427125
9_11_21_1,two_males,Plant_04,M225,call,virgin,0,11,1,11,NA,0,0,0,F185,0,0,0,2.236067977,3.16227766,4.123105626
9_11_21_1,two_males,Plant_04,M236,silent,virgin,0,0,0,11,NA,1,1,0.090909091,F185,0,0,0,2.236067977,3.16227766,4.123105626
9_5_21_1,two_males,Plant_02,M101,call,virgin,0,13,1,13,NA,0,0,0,F065,5,5,0.384615385,2,2.236067977,2.236067977
9_5_21_1,two_males,Plant_02,M105,silent,virgin,1,0,0,13,13,0,0,0,F065,5,5,0.384615385,2.236067977,2.236067977,2.236067977
18_3_21_2,single_male,Plant_02,M023,call,virgin,0,45,1,45,NA,0,0,0,F010,2,3,0.066666667,3.16227766,NA,NA
18_3_21_3,single_male,Plant_02,M024,call,virgin,1,1,0.142857143,7,7,1,1.414213562,0.202030509,F007,4,5,0.714285714,2.236067977,NA,NA
22_3_21_2,single_male,Plant_02,M034,call,virgin,1,12,0.857142857,14,14,1,1,0.071428571,F018,1,2,0.142857143,1,NA,NA
