exp_ids,maleid,tactic,FemaleID,mated,treatment,experiment
11_11_21_2,M238,call,F188,1,single_male,within
11_11_21_3,M247,call,F189,1,single_male,within
15_3_21_1,M001,silent,F011,1,single_male,within
15_3_21_2,M007,silent,F012,1,single_male,within
18_3_21_1,M022,silent,F009,1,single_male,within
24_3_21_1,M030,silent,F021,0,single_male,within
30_3_21_3,M039,silent,F031,1,single_male,within
7_4_21_2,M040,silent,F035,1,single_male,within
8_4_21_1,M052,silent,F036,0,single_male,within
13_4_21_2,M062,silent,F039,0,single_male,within
15_4_21_2,M064,silent,F041,1,single_male,within
17_4_21_2,M074,silent,F045,0,single_male,within
19_4_21_2,M081,silent,F050,0,single_male,within
19_4_21_4,M076,silent,F052,1,single_male,within
20_4_21_2,M081,silent,F047,0,single_male,within
20_4_21_3,M082,silent,F051,0,single_male,within
24_4_21_1,M078,silent,F050,1,single_male,within
24_4_21_2,M088,silent,F051,0,single_male,within
26_4_21_2,M088,silent,F053,0,single_male,within
29_4_21_2,M094,silent,F057,0,single_male,within
8_5_21_1,M103,silent,F064,0,single_male,within
9_5_21_2,M106,silent,F066,0,single_male,within
14_5_21_1,M107,silent,F071,0,single_male,within
25_10_21_2,M217,silent,F147,0,single_male,within
27_10_21_2,M172,silent,F154,0,single_male,within
27_10_21_3,M170,silent,F155,0,single_male,within
29_10_21_1,M210,silent,F160,0,single_male,within
29_10_21_2,M207,silent,F162,0,single_male,within
1_11_21_1,M193,silent,F174,1,single_male,within
3_11_21_3,M187,silent,F146,0,single_male,within
5_11_21_3,M229,silent,F180,0,single_male,within
9_11_21_3,M207,silent,F187,0,single_male,within
14_4_22_1,M306,silent,F303,0,two_males_caller,across
14_4_22_1,M307,call,F303,0,two_males_caller,across
15_4_22_1,M309,silent,F306,0,two_males_caller,across
15_4_22_1,M311,call,F306,0,two_males_caller,across
15_4_22_2,M312,call,F307,0,two_males_caller,across
15_4_22_2,M313,silent,F307,0,two_males_caller,across
15_4_22_3,M316,call,F308,0,two_males_caller,across
15_4_22_3,M317,silent,F308,0,two_males_caller,across
18_4_22_2,M320,silent,F314,0,two_males_caller,across
18_4_22_2,M322,call,F314,0,two_males_caller,across
20_4_22_4,M337,call,F326,0,two_males_caller,across
20_4_22_4,M336,silent,F326,0,two_males_caller,across
21_4_22_1,M333,call,F325,0,two_males_caller,across
21_4_22_1,M338,silent,F325,0,two_males_caller,across
21_4_22_3,M330,call,F327,0,two_males_caller,across
21_4_22_3,M332,silent,F327,0,two_males_caller,across
27_4_22_2,M353,call,F337,0,two_males_caller,across
27_4_22_2,M355,silent,F337,0,two_males_caller,across
28_4_22_1,M352,silent,F345,1,two_males_caller,across
28_4_22_1,M361,call,F345,0,two_males_caller,across
29_4_22_1,M357,call,F340,0,two_males_caller,across
29_4_22_1,M362,silent,F340,0,two_males_caller,across
4_5_22_1,M371,silent,F353,0,two_males_caller,across
4_5_22_1,M372,call,F353,0,two_males_caller,across
4_5_22_2,M367,silent,F348,0,two_males_caller,across
4_5_22_2,M368,call,F348,0,two_males_caller,across
4_5_22_3,M365,silent,F354,0,two_males_caller,across
4_5_22_3,M370,call,F354,0,two_males_caller,across
5_5_22_1,M369,silent,F349,1,two_males_caller,across
5_5_22_1,M364,call,F349,0,two_males_caller,across
6_5_22_1,M380,call,F362,1,two_males_caller,across
6_5_22_1,M381,silent,F362,0,two_males_caller,across
8_5_22_2,M377,silent,F363,0,two_males_caller,across
8_5_22_2,M385,call,F363,0,two_males_caller,across
9_5_22_1,M379,call,F367,1,two_males_caller,across
9_5_22_1,M390,silent,F367,0,two_males_caller,across
10_5_22_2,M394,call,F368,0,two_males_caller,across
