exp_ids,treatment,plant_id(males),plant_id(female),femaleid,maleid,tactic,mated,number_of_scans_called,male_spl(dB),spl_at_female_location(dB),d.o.e(female),female_flew_off_arena,d.o.e(male),d.o.exp,male_age(days),female_age(days),"mode_of_interbush_movement_female_(w,f,NaN)",Mean_body_length_female(mm),Mean_body_length_male(mm),Mating_latency(min),Duration_of _trial_(min)
3_6_22_1,single_male,Plant_08,Plant_09,F424,M455,call,1,11,57.3,47.8,02-05-2022,0,25-05-2022,03-06-2022,9,32,f,10.205,10.454,24,24
4_6_22_1,single_male,Plant_08,Plant_09,F428,M457,call,1,16,60.6,52.4,02-05-2022,0,25-05-2022,04-06-2022,10,33,NaN,10.173,11.01,31,45
4_6_22_2,single_male,Plant_08,Plant_09,F430,M462,call,0,33,46.7,42,02-05-2022,0,29-05-2022,04-06-2022,6,33,NaN,10.294,10.539,45,45
19_4_22_2,single_male,Plant_05,Plant_06,F319,M325,silent,0,0,0,0,04-04-2022,0,10-04-2022,19-04-2022,9,15,NaN,10.531,11.168,NaN,45
19_4_22_3,single_male,Plant_05,Plant_06,F318,M324,silent,0,0,0,0,02-04-2022,0,10-04-2022,19-04-2022,9,17,NaN,11.277,11.344,NaN,45
20_4_22_1,single_male,Plant_05,Plant_06,F321,M327,silent,0,0,0,0,04-04-2022,0,11-04-2022,20-04-2022,9,16,NaN,NaN,12.376,NaN,45
20_4_22_3,single_male,Plant_05,Plant_06,F324,M329,silent,0,0,0,0,04-04-2022,1,11-04-2022,20-04-2022,9,16,NaN,12.353,NaN,NaN,26
24_4_22_3,single_male,Plant_05,Plant_06,F330,M342,silent,0,0,0,0,07-04-2022,0,17-04-2022,24-04-2022,7,17,NaN,10.753,9.068,NaN,45
25_4_22_2,single_male,Plant_05,Plant_06,F332,M347,silent,0,0,0,0,08-04-2022,1,18-04-2022,25-04-2022,7,17,NaN,9.841,NaN,NaN,5
26_4_22_2,single_male,Plant_05,Plant_06,F335,M351,silent,0,0,0,0,08-04-2022,1,19-04-2022,26-04-2022,7,18,NaN,9.97,8.754,NaN,14
27_4_22_1,single_male,Plant_05,Plant_06,F334,M350,silent,0,0,0,0,08-04-2022,1,19-04-2022,27-04-2022,8,19,NaN,10.42,10.26,NaN,9
27_4_22_3,single_male,Plant_05,Plant_06,F343,M349,silent,0,0,0,0,12-04-2022,1,18-04-2022,27-04-2022,9,15,NaN,8.583,8.508,NaN,5
6_5_22_3,single_male,Plant_08,Plant_07,F360,M378,silent,0,0,0,0,15-04-2022,0,27-04-2022,06-05-2022,9,21,NaN,8.905,9.18,NaN,45
9_5_22_3,single_male,Plant_08,Plant_07,F365,M392,silent,0,0,0,0,17-04-2022,0,29-04-2022,09-05-2022,10,22,NaN,7.759,9.308,NaN,45
10_5_22_1,single_male,Plant_08,Plant_07,F364,M395,silent,0,0,0,0,17-04-2022,1,30-04-2022,10-05-2022,10,23,NaN,9.783,11.597,NaN,5
10_5_22_3,single_male,Plant_08,Plant_07,F369,M374,silent,0,0,0,0,17-04-2022,1,26-04-2022,10-05-2022,14,23,NaN,9.389,10.239,NaN,21
12_5_22_3,single_male,Plant_08,Plant_07,F377,M406,silent,0,0,0,0,17-04-2022,1,02-05-2022,12-05-2022,10,25,f,9.75,10.131,NaN,17
17_5_22_2,single_male,Plant_08,Plant_09,F384,M426,silent,0,0,0,0,18-04-2022,0,06-05-2022,17-05-2022,11,29,NaN,NaN,10.081,NaN,45
17_5_22_3,single_male,Plant_08,Plant_09,F391,M427,silent,0,0,0,0,22-04-2022,1,06-05-2022,17-05-2022,11,25,NaN,8.604,9.321,NaN,14
18_5_22_2,single_male,Plant_08,Plant_09,F392,M432,silent,0,0,0,0,22-04-2022,0,09-05-2022,18-05-2022,9,26,NaN,10.69,10.703,NaN,45
24_5_22_1,single_male,Plant_08,Plant_09,F411,M440,silent,0,0,0,0,29-04-2022,0,19-05-2022,24-05-2022,5,25,NaN,8.625,10.205,NaN,45
24_5_22_3,single_male,Plant_08,Plant_09,F409,M437,silent,0,0,0,0,28-04-2022,0,18-05-2022,24-05-2022,6,26,NaN,9.361,9.186,NaN,45
30_5_22_1,single_male,Plant_08,Plant_09,F417,M447,silent,0,0,0,0,30-04-2022,0,23-05-2022,30-05-2022,7,30,NaN,10.016,NaN,NaN,45
30_5_22_2,single_male,Plant_08,Plant_09,F416,M446,silent,0,0,0,0,29-04-2022,0,23-05-2022,30-05-2022,7,31,NaN,9.649,9.411,NaN,45
31_5_22_2,single_male,Plant_08,Plant_09,F418,M449,silent,0,0,0,0,30-04-2022,1,23-05-2022,31-05-2022,8,31,NaN,9.48,NaN,NaN,19
1_6_22_1,single_male,Plant_08,Plant_09,F423,M452,silent,0,0,0,0,02-05-2022,0,24-05-2022,01-06-2022,8,30,NaN,10.373,NAN,NaN,45
3_6_22_2,single_male,Plant_08,Plant_09,F426,M456,silent,1,0,0,0,02-05-2022,0,25-05-2022,03-06-2022,9,32,NaN,10.959,11.512,26,26
3_6_22_3,single_male,Plant_08,Plant_09,F425,M454,silent,0,0,0,0,02-05-2022,0,24-05-2022,03-06-2022,10,32,NaN,10.12,10.742,NaN,45
4_6_22_3,single_male,Plant_08,Plant_09,F433,M461,silent,0,0,0,0,30-04-2022,0,27-05-2022,04-06-2022,8,35,NaN,11.374,10.437,45,45
