exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,femaleid
20_4_21_1,single_male,Plant_02,M079,call,virgin,1,F049
29_4_21_1,single_male,Plant_02,M095,call,virgin,0,F059
2_5_21_1,single_male,Plant_02,M097,call,virgin,1,F063
22_10_21_1,single_male,Plant_03,M179,call,virgin,0,F137
22_10_21_2,single_male,Plant_03,M176,call,virgin,1,F138
22_10_21_3,single_male,Plant_03,M189,call,virgin,0,F142
24_10_21_1,single_male,Plant_03,M177,call,virgin,1,F140
24_10_21_2,single_male,Plant_03,M184,call,virgin,0,F144
24_10_21_3,single_male,Plant_03,M192,call,virgin,0,F145
25_10_21_1,single_male,Plant_04,M219,call,virgin,0,F146
26_10_21_3,single_male,Plant_04,M173,call,virgin,1,F149
26_10_21_4,single_male,Plant_04,M215,call,virgin,0,F151
27_10_21_1,single_male,Plant_04,M221,call,virgin,0,F153
28_10_21_1,single_male,Plant_04,M181,call,virgin,0,F156
28_10_21_2,single_male,Plant_04,M184,call,virgin,1,F157
28_10_21_3,single_male,Plant_04,M185,call,virgin,0,F159
28_10_21_4,single_male,Plant_04,M180,call,virgin,0,F158
30_10_21_2,single_male,Plant_04,M203,call,virgin,1,F169
30_10_21_4,single_male,Plant_04,M202,call,virgin,0,F167
1_11_21_2,single_male,Plant_04,M194,call,virgin,1,F173
2_11_21_4,single_male,Plant_04,M180,call,virgin,0,F177
7_11_21_3,single_male,Plant_04,M192,call,virgin,0,F184
9_11_21_2,single_male,Plant_04,M239,call,virgin,0,F186
11_11_21_2,single_male,Plant_04,M238,call,virgin,1,F188
11_11_21_3,single_male,Plant_04,M247,call,virgin,1,F189
15_3_21_1,single_male,Plant_02,M001,silent,virgin,1,F011
15_3_21_2,single_male,Plant_02,M007,silent,virgin,1,F012
18_3_21_1,single_male,Plant_02,M022,silent,virgin,1,F009
24_3_21_1,single_male,Plant_02,M030,silent,virgin,0,F021
30_3_21_3,single_male,Plant_02,M039,silent,virgin,1,F031
7_4_21_2,single_male,Plant_02,M040,silent,virgin,1,F035
8_4_21_1,single_male,Plant_02,M052,silent,virgin,0,F036
13_4_21_2,single_male,Plant_02,M062,silent,virgin,0,F039
15_4_21_2,single_male,Plant_02,M064,silent,virgin,1,F041
17_4_21_2,single_male,Plant_02,M074,silent,virgin,0,F045
19_4_21_2,single_male,Plant_02,M081,silent,virgin,0,F050
19_4_21_4,single_male,Plant_02,M076,silent,virgin,1,F052
20_4_21_2,single_male,Plant_02,M081,silent,virgin,0,F047
20_4_21_3,single_male,Plant_02,M082,silent,virgin,0,F051
24_4_21_1,single_male,Plant_02,M078,silent,virgin,1,F050
24_4_21_2,single_male,Plant_02,M088,silent,virgin,0,F051
26_4_21_2,single_male,Plant_02,M088,silent,virgin,0,F053
29_4_21_2,single_male,Plant_02,M094,silent,virgin,0,F057
8_5_21_1,single_male,Plant_02,M103,silent,virgin,0,F064
9_5_21_2,single_male,Plant_02,M106,silent,virgin,0,F066
14_5_21_1,single_male,Plant_02,M107,silent,virgin,0,F071
25_10_21_2,single_male,Plant_04,M217,silent,virgin,0,F147
27_10_21_2,single_male,Plant_04,M172,silent,virgin,0,F154
27_10_21_3,single_male,Plant_04,M170,silent,virgin,0,F155
29_10_21_1,single_male,Plant_04,M210,silent,virgin,0,F160
29_10_21_2,single_male,Plant_04,M207,silent,virgin,0,F162
1_11_21_1,single_male,Plant_04,M193,silent,virgin,1,F174
3_11_21_3,single_male,Plant_04,M187,silent,virgin,0,F146
5_11_21_3,single_male,Plant_04,M229,silent,virgin,0,F180
9_11_21_3,single_male,Plant_04,M207,silent,virgin,0,F187
